ApplicableEntity,Type
IfcActionRequest,IfcActor
IfcControl,IfcObjectDefinition
IfcCostSchedule,IfcCostItem
IfcCostSchedule,IfcActor
IfcPermit,IfcActor
IfcProjectOrder,IfcActor
IfcProjectOrder,IfcTask
IfcWorkCalendar,IfcEvent
IfcWorkCalendar,IfcProcedure
IfcWorkCalendar,IfcWorkCalendar
IfcWorkCalendar,IfcTask
IfcWorkControl,IfcTask
IfcWorkSchedule,IfcTask
IfcWorkSchedule,IfcActor
IfcCostItem,IfcProduct
IfcCostItem,IfcProcess
IfcCostItem,IfcResource
IfcCostItem,IfcTypeProduct
IfcCostItem,IfcTypeProcess
IfcCostItem,IfcTypeResource
IfcPerformanceHistory,IfcGroup
IfcPerformanceHistory,IfcProduct
IfcPerformanceHistory,IfcProcess
IfcPerformanceHistory,IfcResource
