ApplicableEntity,Name
IfcActuator,Casing
IfcAirTerminalBox,Casing
IfcAirTerminal,Casing
IfcAirToAirHeatRecovery,Casing
IfcAirToAirHeatRecovery,Media
IfcAlarm,Casing
IfcAudioVisualAppliance,Casing
IfcBeam,LoadBearing
IfcBoiler,Casing
IfcBurner,Casing
IfcBurner,Fuel
IfcCableCarrierFitting,Casing
IfcCableCarrierSegment,Casing
IfcCableFitting,Casing
IfcCableFitting,Conductor
IfcCableSegment,Conductor
IfcCableSegment,Insulation
IfcCableSegment,Screen
IfcCableSegment,Sheath
IfcChiller,Casing
IfcChiller,Refrigerant
IfcCoil,Casing
IfcColumn,LoadBearing
IfcCommunicationsAppliance,Casing
IfcCompressor,Casing
IfcCompressor,Refrigerant
IfcCondenser,Casing
IfcCondenser,Refrigerant
IfcController,Casing
IfcCooledBeam,Casing
IfcCoolingTower,Casing
IfcCoolingTower,Fill
IfcCovering,Front
IfcCovering,Fill
IfcCovering,Back
IfcCovering,Trim
IfcCovering,Lining
IfcCovering,Finish
IfcDamper,Blade
IfcDamper,Frame
IfcDamper,Seal
IfcDistributionChamberElement,Base
IfcDistributionChamberElement,Cover
IfcDistributionChamberElement,Fill
IfcDistributionChamberElement,Wall
IfcDoor,Lining
IfcDoor,Framing
IfcDoor,Glazing
IfcDuctFitting,Casing
IfcDuctFitting,Coating
IfcDuctFitting,Insulation
IfcDuctFitting,Lining
IfcDuctSegment,Casing
IfcDuctSegment,Coating
IfcDuctSegment,Insulation
IfcDuctSegment,Lining
IfcDuctSilencer,Casing
IfcElectricAppliance,Casing
IfcElectricDistributionBoard,Casing
IfcElectricFlowStorageDevice,Casing
IfcElectricGenerator,Casing
IfcElectricMotor,Casing
IfcElectricTimeControl,Casing
IfcEngine,Casing
IfcEvaporativeCooler,Casing
IfcEvaporativeCooler,Media
IfcEvaporator,Casing
IfcEvaporator,Refrigerant
IfcFan,Casing
IfcFan,Wheel
IfcFilter,Casing
IfcFilter,Media
IfcFireSuppressionTerminal,Casing
IfcFireSuppressionTerminal,Damping
IfcFlowInstrument,Casing
IfcFlowMeter,Casing
IfcFurniture,Finish
IfcFurniture,Frame
IfcFurniture,Hardware
IfcFurniture,Padding
IfcFurniture,Panel
IfcHeatExchanger,Casing
IfcHumidifier,Casing
IfcInterceptor,Casing
IfcInterceptor,Cover
IfcInterceptor,Strainer
IfcJunctionBox,Casing
IfcLamp,Bulb
IfcLamp,Conductor
IfcLamp,Filament
IfcLightFixture,Casing
IfcMedicalDevice,Casing
IfcMember,LoadBearing
IfcMotorConnection,Casing
IfcOutlet,Casing
IfcOutlet,Conductor
IfcOutlet,Surface
IfcPipeFitting,Casing
IfcPipeFitting,Coating
IfcPipeFitting,Insulation
IfcPipeFitting,Lining
IfcPipeSegment,Casing
IfcPipeSegment,Coating
IfcPipeSegment,Insulation
IfcPipeSegment,Lining
IfcPlate,LoadBearing
IfcProtectiveDevice,Casing
IfcPump,Casing
IfcPump,Impeller
IfcPump,Seal
IfcReinforcingBar,Core
IfcReinforcingBar,Coating
IfcSanitaryTerminal,Casing
IfcSensor,Casing
IfcSlab,LoadBearing
IfcSlab,Insulation
IfcSolarDevice,Casing
IfcSpaceHeater,Casing
IfcStackTerminal,Casing
IfcSwitchingDevice,Casing
IfcSwitchingDevice,Conductor
IfcSwitchingDevice,Surface
IfcSystemFurnitureElement,Finish
IfcSystemFurnitureElement,Frame
IfcSystemFurnitureElement,Hardware
IfcSystemFurnitureElement,Padding
IfcSystemFurnitureElement,Panel
IfcTank,Casing
IfcTransformer,Casing
IfcTubeBundle,Casing
IfcUnitaryControlElement,Casing
IfcUnitaryEquipment,Casing
IfcValve,Casing
IfcValve,Operation
IfcVibrationIsolator,Casing
IfcVibrationIsolator,Damping
IfcWall,LoadBearing
IfcWall,Insulation
IfcWasteTerminal,Casing
IfcWasteTerminal,Cover
IfcWindow,Lining
IfcWindow,Framing
IfcWindow,Glazing
