ApplicableEntity,RelatingType
IfcActuator,IfcActuatorType
IfcAirTerminalBox,IfcAirTerminalBoxType
IfcAirTerminal,IfcAirTerminalType
IfcAirToAirHeatRecovery,IfcAirToAirHeatRecoveryType
IfcAlarm,IfcAlarmType
IfcAudioVisualAppliance,IfcAudioVisualApplianceType
IfcBeam,IfcBeamType
IfcBearing,IfcBearingType
IfcBoiler,IfcBoilerType
IfcBuildingElementPart,IfcBuildingElementPartType
IfcBuildingElementProxy,IfcBuildingElementProxyType
IfcBuiltElement,IfcBuiltElementType
IfcBurner,IfcBurnerType
IfcCableCarrierFitting,IfcCableCarrierFittingType
IfcCableCarrierSegment,IfcCableCarrierSegmentType
IfcCableFitting,IfcCableFittingType
IfcCableSegment,IfcCableSegmentType
IfcCaissonFoundation,IfcCaissonFoundationType
IfcChiller,IfcChillerType
IfcChimney,IfcChimneyType
IfcCivilElement,IfcCivilElementType
IfcCoil,IfcCoilType
IfcColumn,IfcColumnType
IfcCommunicationsAppliance,IfcCommunicationsApplianceType
IfcCompressor,IfcCompressorType
IfcCondenser,IfcCondenserType
IfcConstructionEquipmentResource,IfcConstructionEquipmentResourceType
IfcConstructionMaterialResource,IfcConstructionMaterialResourceType
IfcConstructionProductResource,IfcConstructionProductResourceType
IfcConstructionResource,IfcConstructionResourceType
IfcController,IfcControllerType
IfcConveyorSegment,IfcConveyorSegmentType
IfcCooledBeam,IfcCooledBeamType
IfcCoolingTower,IfcCoolingTowerType
IfcCourse,IfcCourseType
IfcCovering,IfcCoveringType
IfcCrewResource,IfcCrewResourceType
IfcCurtainWall,IfcCurtainWallType
IfcDamper,IfcDamperType
IfcDeepFoundation,IfcDeepFoundationType
IfcDiscreteAccessory,IfcDiscreteAccessoryType
IfcDistributionBoard,IfcDistributionBoardType
IfcDistributionChamberElement,IfcDistributionChamberElementType
IfcDistributionControlElement,IfcDistributionControlElementType
IfcDistributionElement,IfcDistributionElementType
IfcDistributionFlowElement,IfcDistributionFlowElementType
IfcDoor,IfcDoorType
IfcDuctFitting,IfcDuctFittingType
IfcDuctSegment,IfcDuctSegmentType
IfcDuctSilencer,IfcDuctSilencerType
IfcElectricAppliance,IfcElectricApplianceType
IfcElectricDistributionBoard,IfcElectricDistributionBoardType
IfcElectricFlowStorageDevice,IfcElectricFlowStorageDeviceType
IfcElectricFlowTreatmentDevice,IfcElectricFlowTreatmentDeviceType
IfcElectricGenerator,IfcElectricGeneratorType
IfcElectricMotor,IfcElectricMotorType
IfcElectricTimeControl,IfcElectricTimeControlType
IfcElementAssembly,IfcElementAssemblyType
IfcElementComponent,IfcElementComponentType
IfcElement,IfcElementType
IfcEnergyConversionDevice,IfcEnergyConversionDeviceType
IfcEngine,IfcEngineType
IfcEvaporativeCooler,IfcEvaporativeCoolerType
IfcEvaporator,IfcEvaporatorType
IfcEvent,IfcEventType
IfcFan,IfcFanType
IfcFastener,IfcFastenerType
IfcFilter,IfcFilterType
IfcFireSuppressionTerminal,IfcFireSuppressionTerminalType
IfcFlowController,IfcFlowControllerType
IfcFlowFitting,IfcFlowFittingType
IfcFlowInstrument,IfcFlowInstrumentType
IfcFlowMeter,IfcFlowMeterType
