ApplicableEntity,PredefinedType,PortName,Flow
IfcActuator,SIGNAL,Input,SINK
IfcAirTerminalBox,AIRCONDITIONING,Inlet,SINK
IfcAirTerminalBox,AIRCONDITIONING,Outlet,SOURCE
IfcAirTerminal,AIRCONDITIONING,Air,SINK
IfcAirTerminal,GRILLE,Air,SOURCE
IfcAirTerminal,AIRCONDITIONING,Air,SINK
IfcAirToAirHeatRecovery,AIRCONDITIONING,AirInlet,SINK
IfcAirToAirHeatRecovery,AIRCONDITIONING,AirOutlet,SOURCE
IfcAirToAirHeatRecovery,AIRCONDITIONING,ExhaustInlet,SINK
IfcAirToAirHeatRecovery,AIRCONDITIONING,ExhaustOutlet,SOURCE
IfcAlarm,SIGNAL,Input,SINK
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input,SINK
IfcAudioVisualAppliance,AMPLIFIER,Speakers,SOURCE
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,CAMERA,Control,SINK
IfcAudioVisualAppliance,CAMERA,Network,SOURCE
IfcAudioVisualAppliance,AUDIOVISUAL,Output,SOURCE
IfcAudioVisualAppliance,DISPLAY,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,DISPLAY,Input#1,SINK
IfcAudioVisualAppliance,DISPLAY,Input#2,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#3,SINK
IfcAudioVisualAppliance,DISPLAY,Input#4,SINK
IfcAudioVisualAppliance,DISPLAY,Input#5,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#6,SINK
IfcAudioVisualAppliance,DISPLAY,Input#7,SINK
IfcAudioVisualAppliance,DISPLAY,Input#8,SINK
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Output,SOURCE
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Output,SOURCE
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Output,SINK
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,RECEIVER,Network,SOURCE
IfcAudioVisualAppliance,RECEIVER,Input#1,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#2,SINK
IfcAudioVisualAppliance,RECEIVER,Input#3,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#4,SINK
IfcAudioVisualAppliance,RECEIVER,Input#5,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#6,SINK
IfcAudioVisualAppliance,RECEIVER,Input#7,SINK
IfcAudioVisualAppliance,RECEIVER,Input#8,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Output#1,SOURCE
IfcAudioVisualAppliance,RECEIVER,Output#2,SOURCE
IfcAudioVisualAppliance,RECEIVER,Speakers#1,SOURCE
IfcAudioVisualAppliance,RECEIVER,Speakers#2,SOURCE
IfcAudioVisualAppliance,SPEAKER,Input,SINK
IfcAudioVisualAppliance,SWITCHER,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,SWITCHER,Network,SOURCE
IfcAudioVisualAppliance,AUDIOVISUAL,Input#1,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#2,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#3,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#4,SINK
IfcAudioVisualAppliance,SWITCHER,Input#5,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#6,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#7,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Input#8,SINK
IfcAudioVisualAppliance,AUDIOVISUAL,Output#1,SOURCE
IfcAudioVisualAppliance,AUDIOVISUAL,Output#2,SOURCE
IfcAudioVisualAppliance,SWITCHER,Output#3,SOURCE
IfcAudioVisualAppliance,AUDIOVISUAL,Output#4,SOURCE
IfcAudioVisualAppliance,SWITCHER,Output#5,SOURCE
IfcAudioVisualAppliance,SWITCHER,Output#6,SOURCE
IfcAudioVisualAppliance,SWITCHER,Output#7,SOURCE
IfcAudioVisualAppliance,SWITCHER,Output#8,SOURCE
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,TELEPHONE,Phone,SINK
IfcAudioVisualAppliance,ELECTRICAL,Power,SINK
IfcAudioVisualAppliance,CONTROL,Control,SINK
IfcAudioVisualAppliance,TUNER,Input,SINK
IfcAudioVisualAppliance,TUNER,Output,SOURCE
IfcBoiler,GAS,Gas,SINK
IfcBoiler,EXHAUST,Exhaust,SOURCE
IfcBoiler,CONDENSERWATER,Condenser,SOURCE
IfcBoiler,STEAM,Heating,SOURCE
IfcBoiler,WATER,Gas,SINK
IfcBoiler,EXHAUST,Exhaust,SOURCE
IfcBoiler,WATER,ColdWater,SINK
IfcBoiler,DOMESTICHOTWATER,HotWater,SOURCE
IfcBurner,GAS,Gas,SINK
IfcCableCarrierFitting,NOTDEFINED,Head,SINK
IfcCableCarrierFitting,NOTDEFINED,Tail,SOURCE
IfcCableCarrierFitting,NOTDEFINED,Head,SINK
IfcCableCarrierFitting,NOTDEFINED,Tail,SOURCE
IfcCableCarrierFitting,JUNCTION,Left,SOURCE
IfcCableCarrierFitting,JUNCTION,Right,SOURCE
IfcCableCarrierFitting,NOTDEFINED,Head,SINK
IfcCableCarrierFitting,NOTDEFINED,Tail,SOURCE
IfcCableCarrierFitting,NOTDEFINED,Head,SINK
IfcCableCarrierFitting,TEE,Left,SOURCE
IfcCableCarrierFitting,TEE,Right,SOURCE
IfcCableCarrierSegment,NOTDEFINED,Head,SINK
IfcCableCarrierSegment,NOTDEFINED,Tail,SOURCE
IfcCableFitting,CONNECTOR,Input,SINK
IfcCableFitting,NOTDEFINED,Output,SOURCE
IfcCableFitting,NOTDEFINED,Output,SOURCE
IfcCableFitting,EXIT,Input,SINK
IfcCableFitting,JUNCTION,Input,SINK
IfcCableFitting,JUNCTION,Output#1,SOURCE
IfcCableFitting,JUNCTION,Output#2,SOURCE
IfcCableFitting,NOTDEFINED,Input,SINK
IfcCableFitting,NOTDEFINED,Output,SOURCE
IfcCableSegment,NOTDEFINED,Input,SINK
IfcCableSegment,NOTDEFINED,Output,SOURCE
IfcChiller,ELECTRICAL,Power,SINK
IfcChiller,CONTROL,Control,SINK
IfcChiller,CHILLEDWATER,ChilledWaterIn,SINK
IfcChiller,CHILLEDWATER,ChilledWaterOut,SOURCE
IfcChiller,AIRCOOLED,VentilationIn,SINK
IfcChiller,VENTILATION,VentilationOut,SOURCE
IfcChiller,WATERCOOLED,Power,SINK
IfcChiller,WATERCOOLED,Control,SINK
IfcChiller,CHILLEDWATER,ChilledWaterIn,SINK
IfcChiller,WATERCOOLED,ChilledWaterOut,SOURCE
IfcChiller,CONDENSERWATER,CondenserWaterIn,SINK
IfcChiller,CONDENSERWATER,CondenserWaterOut,SOURCE
IfcCoil,REFRIGERATION,RefrigerantIn,SINK
IfcCoil,DXCOOLINGCOIL,RefrigerantOut,SOURCE
IfcCoil,DXCOOLINGCOIL,AirIn,SINK
IfcCoil,AIRCONDITIONING,AirOut,SOURCE
IfcCoil,WATERCOOLINGCOIL,ChilledWaterIn,SINK
