ApplicableEntity,PsetName
IfcMaterial,Pset_MaterialCombustion
IfcMaterial,Pset_MaterialCommon
IfcMaterial,Pset_MaterialConcrete
IfcMaterial,Pset_MaterialEnergy
IfcMaterial,Pset_MaterialFuel
IfcMaterial,Pset_MaterialHygroscopic
IfcMaterial,Pset_MaterialMechanical
IfcMaterial,Pset_MaterialOptical
IfcMaterial,Pset_MaterialSteel
IfcMaterial,Pset_MaterialThermal
IfcMaterial,Pset_MaterialWater
IfcMaterial,Pset_MaterialWood
IfcMaterial,Pset_MaterialWoodBasedStructure
IfcMaterial,Pset_MechanicalBeamInPlane
IfcMaterial,Pset_MechanicalBeamInPlaneNegative
IfcMaterial,Pset_MechanicalBeamOutOfPlane
IfcMaterial,Pset_MechanicalPanelInPlane
IfcMaterial,Pset_MechanicalPanelOutOfPlane
IfcMaterial,Pset_MechanicalPanelOutOfPlaneNegative
