ApplicableEntity,PredefinedType,PsetName
IfcDoor,,Pset_DoorLiningProperties
IfcMember,,Pset_DoorLiningProperties
IfcDoorType,,Pset_DoorLiningProperties
IfcMemberType,,Pset_DoorLiningProperties
IfcDoor,,Pset_DoorPanelProperties
IfcPlate,,Pset_DoorPanelProperties
IfcDoorType,,Pset_DoorPanelProperties
IfcPlateType,,Pset_DoorPanelProperties
IfcActionRequest,,Pset_ActionRequest
IfcActor,,Pset_ActorCommon
IfcActor,,Pset_Address
IfcBuilding,,Pset_Address
IfcSite,,Pset_Address
IfcActuator,,Pset_ActuatorTypeCommon
IfcActuatorType,,Pset_ActuatorTypeCommon
IfcActuator,,Pset_ActuatorTypeLinearActuation
IfcActuatorType,,Pset_ActuatorTypeLinearActuation
IfcActuator,,Pset_ActuatorTypeRotationalActuation
IfcActuatorType,,Pset_ActuatorTypeRotationalActuation
IfcActuator,ELECTRICACTUATOR,Pset_ActuatorTypeElectricActuator
IfcActuatorType,ELECTRICACTUATOR,Pset_ActuatorTypeElectricActuator
IfcActuator,ELECTRICACTUATOR,Pset_PointMachine
IfcActuator,HANDOPERATEDACTUATOR,Pset_PointMachine
IfcActuator,HYDRAULICACTUATOR,Pset_PointMachine
IfcActuator,PNEUMATICACTUATOR,Pset_PointMachine
IfcActuatorType,ELECTRICACTUATOR,Pset_PointMachine
IfcActuatorType,HANDOPERATEDACTUATOR,Pset_PointMachine
IfcActuatorType,HYDRAULICACTUATOR,Pset_PointMachine
IfcActuatorType,PNEUMATICACTUATOR,Pset_PointMachine
IfcActuator,HYDRAULICACTUATOR,Pset_ActuatorTypeHydraulicActuator
IfcActuatorType,HYDRAULICACTUATOR,Pset_ActuatorTypeHydraulicActuator
IfcActuator,PNEUMATICACTUATOR,Pset_ActuatorTypePneumaticActuator
IfcActuatorType,PNEUMATICACTUATOR,Pset_ActuatorTypePneumaticActuator
IfcAirTerminalBox,,Pset_AirTerminalBoxTypeCommon
IfcAirTerminalBoxType,,Pset_AirTerminalBoxTypeCommon
IfcAirTerminal,,Pset_AirTerminalOccurrence
IfcAirTerminal,,Pset_AirTerminalTypeCommon
IfcAirTerminalType,,Pset_AirTerminalTypeCommon
IfcAirToAirHeatRecovery,,Pset_AirToAirHeatRecoveryTypeCommon
IfcAirToAirHeatRecoveryType,,Pset_AirToAirHeatRecoveryTypeCommon
IfcAlarm,,Pset_AlarmTypeCommon
IfcAlarmType,,Pset_AlarmTypeCommon
IfcAlignment,,Pset_LinearReferencingMethod
IfcReferent,,Pset_LinearReferencingMethod
IfcAlignmentSegment,,Pset_AlignmentCantSegmentCommon
IfcAlignmentSegment,,Pset_AlignmentVerticalSegmentCommon
IfcAnnotation,,Pset_AnnotationLineOfSight
IfcAnnotation,,Pset_SoundAttenuation
IfcAnnotation,CONTOURLINE,Pset_AnnotationContourLine
IfcAnnotation,SURVEY,Pset_AnnotationSurveyArea
IfcAsset,,Pset_Asset
IfcAsset,,Pset_Condition
IfcElement,,Pset_Condition
IfcSystem,,Pset_Condition
IfcElementType,,Pset_Condition
IfcAsset,,Pset_InstallationOccurrence
IfcElement,,Pset_InstallationOccurrence
IfcSystem,,Pset_InstallationOccurrence
IfcAsset,,Pset_MaintenanceStrategy
IfcElement,,Pset_MaintenanceStrategy
IfcSystem,,Pset_MaintenanceStrategy
IfcElementType,,Pset_MaintenanceStrategy
IfcAsset,,Pset_MaintenanceTriggerCondition
IfcElement,,Pset_MaintenanceTriggerCondition
