ApplicableEntity,PredefinedType,PsetName
IfcActuator,,Pset_ActuatorPHistory
IfcAirTerminalBox,,Pset_AirTerminalBoxPHistory
IfcAirTerminal,,Pset_AirTerminalPHistory
IfcAirToAirHeatRecovery,,Pset_AirToAirHeatRecoveryPHistory
IfcAlarm,,Pset_AlarmPHistory
IfcAudioVisualAppliance,,Pset_AudioVisualAppliancePHistory
IfcBoiler,,Pset_BoilerPHistory
IfcBuilding,,Pset_UtilityConsumptionPHistory
IfcChiller,,Pset_ChillerPHistory
IfcCoil,,Pset_CoilPHistory
IfcCommunicationsAppliance,,Pset_CommunicationsAppliancePHistory
IfcCommunicationsAppliance,IPNETWORKEQUIPMENT,Pset_IpNetworkEquipmentPHistory
IfcCompressor,,Pset_CompressorPHistory
IfcCondenser,,Pset_CondenserPHistory
IfcController,,Pset_ControllerPHistory
IfcCooledBeam,,Pset_CooledBeamPHistory
IfcCooledBeam,ACTIVE,Pset_CooledBeamPHistoryActive
IfcCoolingTower,,Pset_CoolingTowerPHistory
IfcDamper,,Pset_DamperPHistory
IfcDistributionPort,CABLE,Pset_DistributionPortPHistoryCable
IfcDistributionPort,DUCT,Pset_DistributionPortPHistoryDuct
IfcDistributionPort,PIPE,Pset_DistributionPortPHistoryPipe
IfcDuctFitting,,Pset_DuctFittingPHistory
IfcDuctSegment,,Pset_DuctSegmentPHistory
IfcDuctSilencer,,Pset_DuctSilencerPHistory
IfcElectricAppliance,,Pset_ElectricAppliancePHistory
IfcEvaporativeCooler,,Pset_EvaporativeCoolerPHistory
IfcEvaporator,,Pset_EvaporatorPHistory
IfcFan,,Pset_FanPHistory
IfcFilter,,Pset_FilterPHistory
IfcFlowInstrument,,Pset_FlowInstrumentPHistory
IfcHumidifier,,Pset_HumidifierPHistory
IfcPipeFitting,,Pset_PipeFittingPHistory
IfcPipeSegment,,Pset_PipeSegmentPHistory
IfcPump,,Pset_PumpPHistory
IfcSensor,,Pset_SensorPHistory
IfcShadingDevice,,Pset_ShadingDevicePHistory
IfcSpaceHeater,,Pset_SpaceHeaterPHistory
IfcSpatialElement,,Pset_SpaceThermalLoadPHistory
IfcSpatialElement,,Pset_SpaceThermalPHistory
IfcSwitchingDevice,,Pset_SwitchingDeviceTypePHistory
IfcTrackElement,DERAILER,Pset_TrackElementPHistoryDerailer
IfcUnitaryControlElement,,Pset_UnitaryControlElementPHistory
IfcValve,,Pset_ValvePHistory
