ApplicableEntity,PredefinedType,PsetName
IfcActuator,,Qto_ActuatorBaseQuantities
IfcActuatorType,,Qto_ActuatorBaseQuantities
IfcAirTerminalBox,,Qto_AirTerminalBoxTypeBaseQuantities
IfcAirTerminalBoxType,,Qto_AirTerminalBoxTypeBaseQuantities
IfcAirTerminal,,Qto_AirTerminalBaseQuantities
IfcAirTerminalType,,Qto_AirTerminalBaseQuantities
IfcAirToAirHeatRecovery,,Qto_AirToAirHeatRecoveryBaseQuantities
IfcAirToAirHeatRecoveryType,,Qto_AirToAirHeatRecoveryBaseQuantities
IfcAlarm,,Qto_AlarmBaseQuantities
IfcAlarmType,,Qto_AlarmBaseQuantities
IfcAudioVisualAppliance,,Qto_AudioVisualApplianceBaseQuantities
IfcAudioVisualApplianceType,,Qto_AudioVisualApplianceBaseQuantities
IfcBeam,,Qto_BeamBaseQuantities
IfcBeamType,,Qto_BeamBaseQuantities
IfcBoiler,,Qto_BoilerBaseQuantities
IfcBoilerType,,Qto_BoilerBaseQuantities
IfcBuildingElementProxy,,Qto_BuildingElementProxyQuantities
IfcBuildingElementProxyType,,Qto_BuildingElementProxyQuantities
IfcBuilding,,Qto_BuildingBaseQuantities
IfcBuildingStorey,,Qto_BuildingStoreyBaseQuantities
IfcBurner,,Qto_BurnerBaseQuantities
IfcBurnerType,,Qto_BurnerBaseQuantities
IfcCableCarrierFitting,,Qto_CableCarrierFittingBaseQuantities
IfcCableCarrierFittingType,,Qto_CableCarrierFittingBaseQuantities
IfcCableCarrierSegment,,Qto_CableCarrierSegmentBaseQuantities
IfcCableCarrierSegmentType,,Qto_CableCarrierSegmentBaseQuantities
IfcCableCarrierSegment,CONDUITSEGMENT,Qto_ConduitSegmentBaseQuantities
IfcCableCarrierSegmentType,CONDUITSEGMENT,Qto_ConduitSegmentBaseQuantities
IfcCableFitting,,Qto_CableFittingBaseQuantities
IfcCableFittingType,,Qto_CableFittingBaseQuantities
IfcCableSegment,,Qto_CableSegmentBaseQuantities
IfcCableSegmentType,,Qto_CableSegmentBaseQuantities
IfcChiller,,Qto_ChillerBaseQuantities
IfcChillerType,,Qto_ChillerBaseQuantities
IfcChimney,,Qto_ChimneyBaseQuantities
IfcChimneyType,,Qto_ChimneyBaseQuantities
IfcCoil,,Qto_CoilBaseQuantities
IfcCoilType,,Qto_CoilBaseQuantities
IfcColumn,,Qto_ColumnBaseQuantities
IfcColumnType,,Qto_ColumnBaseQuantities
IfcCommunicationsAppliance,,Qto_CommunicationsApplianceBaseQuantities
IfcCommunicationsApplianceType,,Qto_CommunicationsApplianceBaseQuantities
IfcCompressor,,Qto_CompressorBaseQuantities
IfcCompressorType,,Qto_CompressorBaseQuantities
IfcCondenser,,Qto_CondenserBaseQuantities
IfcCondenserType,,Qto_CondenserBaseQuantities
IfcConstructionEquipmentResource,,Qto_ConstructionEquipmentResourceBaseQuantities
IfcConstructionEquipmentResourceType,,Qto_ConstructionEquipmentResourceBaseQuantities
IfcConstructionMaterialResource,,Qto_ConstructionMaterialResourceBaseQuantities
IfcConstructionMaterialResourceType,,Qto_ConstructionMaterialResourceBaseQuantities
IfcController,,Qto_ControllerBaseQuantities
IfcControllerType,,Qto_ControllerBaseQuantities
IfcCooledBeam,,Qto_CooledBeamBaseQuantities
IfcCooledBeamType,,Qto_CooledBeamBaseQuantities
IfcCoolingTower,,Qto_CoolingTowerBaseQuantities
IfcCoolingTowerType,,Qto_CoolingTowerBaseQuantities
IfcCourse,,Qto_CourseBaseQuantities
IfcCourseType,,Qto_CourseBaseQuantities
IfcCovering,,Qto_CoveringBaseQuantities
