ApplicableEntity,RelatingObject
IfcBridgePart,IfcBridge
IfcBridge,IfcProject
IfcBridge,IfcSite
IfcBridge,IfcBridge
IfcBuilding,IfcProject
IfcBuilding,IfcSite
IfcBuilding,IfcBuilding
IfcBuildingStorey,IfcBuilding
IfcBuildingStorey,IfcBuildingStorey
IfcExternalSpatialElement,IfcProject
IfcExternalSpatialElement,IfcSite
IfcExternalSpatialElement,IfcExternalSpatialElement
IfcFacilityPartCommon,IfcFacility
IfcFacility,IfcProject
IfcFacility,IfcSite
IfcFacility,IfcFacility
IfcMarineFacility,IfcProject
IfcMarineFacility,IfcSite
IfcMarineFacility,IfcMarineFacility
IfcMarinePart,IfcMarineFacility
IfcRailwayPart,IfcRailway
IfcRailway,IfcProject
IfcRailway,IfcSite
IfcRailway,IfcRailway
IfcRoadPart,IfcRoad
IfcRoad,IfcProject
IfcRoad,IfcSite
IfcRoad,IfcRoad
IfcSite,IfcProject
IfcSite,IfcSite
IfcSpace,IfcProject
IfcSpace,IfcSite
IfcSpace,IfcBuilding
IfcSpace,IfcBuildingStorey
IfcSpace,IfcSpace
IfcSpace,IfcFacility
IfcSpace,IfcBridge
IfcSpace,IfcMarineFacility
IfcSpace,IfcRailway
IfcSpace,IfcRoad
IfcSpace,IfcFacilityPartCommon
IfcSpace,IfcBridgePart
IfcSpace,IfcMarinePart
IfcSpace,IfcRailwayPart
IfcSpace,IfcRoadPart
