ApplicableEntity,RelatedObjects
IfcBridgePart,IfcSpace
IfcBridge,IfcBridge
IfcBridge,IfcBridgePart
IfcBridge,IfcSpace
IfcBuilding,IfcBuilding
IfcBuilding,IfcBuildingStorey
IfcBuilding,IfcSpace
IfcBuildingStorey,IfcBuildingStorey
IfcBuildingStorey,IfcSpace
IfcExternalSpatialElement,IfcExternalSpatialElement
IfcFacilityPartCommon,IfcSpace
IfcFacility,IfcFacility
IfcFacility,IfcFacilityPartCommon
IfcFacility,IfcSpace
IfcMarineFacility,IfcMarineFacility
IfcMarineFacility,IfcMarinePart
IfcMarineFacility,IfcSpace
IfcMarinePart,IfcSpace
IfcProject,IfcSite
IfcProject,IfcBuilding
IfcProject,IfcFacility
IfcProject,IfcBridge
IfcProject,IfcMarineFacility
IfcProject,IfcRailway
IfcProject,IfcRoad
IfcProject,IfcExternalSpatialElement
IfcProject,IfcSpace
IfcRailwayPart,IfcSpace
IfcRailway,IfcRailway
IfcRailway,IfcRailwayPart
IfcRailway,IfcSpace
IfcRoadPart,IfcSpace
IfcRoad,IfcRoad
IfcRoad,IfcRoadPart
IfcRoad,IfcSpace
IfcSite,IfcSite
IfcSite,IfcBuilding
IfcSite,IfcFacility
IfcSite,IfcBridge
IfcSite,IfcMarineFacility
IfcSite,IfcRailway
IfcSite,IfcRoad
IfcSite,IfcExternalSpatialElement
IfcSite,IfcSpace
IfcSpace,IfcSpace
